SALE TYPE,PROPERTY TYPE,ADDRESS,COUNTY,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,DAYS ON MARKET,Price/Square Feet,STATUS,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,HIGH_SCHOOL_RATING,PRICE_PR_SQFT,EST_MONTHLY_PAY,Bike Score,Bike Score_type,Walk Score,Walk Score_type,OVERALL_NEARBY_PLACES,PRICE_HISTORY1_EVENT_DATE,PRICE_HISTORY1_EVENT_TYPE,url
MLS Listing,Condo/Co-op,254 Agustin Narvaez St #3,Santa Clara,San Jose,CA,95136,1398000,4.0,3.5,SAN JOSE,2002.0,2.0,698.0,Active,https://www.redfin.com/CA/San-Jose/254-Agustin-Narvaez-St-95136/unit-3/home/176539741,MLSListings,ML81943333,N,Y,37.285482,-121.8526584,3.0,698.0,10221.0,20.0,Somewhat bikeable,13.0,Car-dependent,"Places6 groceries, 26 restaurants, 8 parksTransit26, 37, 42, 66, 68, 70, 72, 73, BBBLS, Blue (Trsa-StJa), Blue Line, Blue Line (Blos-Trsa), Blue Line Modified, Blue Line Special, Blue-Event, Blue-South Portion, BlueN, BlueS, BusBridge (6/9-6/15), BusBridge (7/25-8/13), BusBridge (Capt-Blos), BusBridge (San Antonio), Event Blue, Event-Blue, L1, L2, L3, L4, L5, L6, Levi's - Santa Teresa, Rapid 568","Sep 27, 2023",Listed (Active)MLSListings #ML81943333,https://www.redfin.com/CA/San-Jose/254-Agustin-Narvaez-St-95136/unit-3/home/176539741
MLS Listing,Single Family Residential,5870 Meander Dr,Santa Clara,San Jose,CA,95120,2200000,4.0,2.5,SAN JOSE,2008.0,2.0,1096.0,Active,https://www.redfin.com/CA/San-Jose/5870-Meander-Dr-95120/home/1569857,MLSListings,ML81919300,N,Y,37.2342261,-121.8890094,8.0,1096.0,15555.0,62.0,Bikeable,42.0,Car-dependent,"Places2 groceries, 27 restaurants, 10 parksTransit27, 64A, 64B, 83, Express 101","Sep 27, 2023",Listed (Active)MLSListings #ML81919300,https://www.redfin.com/CA/San-Jose/5870-Meander-Dr-95120/home/1569857
MLS Listing,Townhouse,51 Muirfield Ct,Santa Clara,San Jose,CA,95116,595000,3.0,1.5,SAN JOSE,1198.0,2.0,497.0,Active,https://www.redfin.com/CA/San-Jose/51-Muirfield-Ct-95116/home/889184,MLSListings,ML81943331,N,Y,37.359816,-121.838159,2.0,497.0,4657.0,67.0,Bikeable,74.0,Very walkable,"Places5 groceries, 21 restaurants, 3 parksTransit22, 23, 25, 64A, 64B, 70, 71, 77, Event Orange, Event-Orange, Express 103, Levi's - Alum Rock, Orange Line, Orange Line Modified, Orange Line Special, Orange-East Portion, Orange-Event, OrangeE, Rapid 522, School 270","Sep 27, 2023",Listed (Active)MLSListings #ML81943331,https://www.redfin.com/CA/San-Jose/51-Muirfield-Ct-95116/home/889184
MLS Listing,Single Family Residential,5978 Shawcroft Dr,Santa Clara,San Jose,CA,95123,1299000,3.0,2.0,SAN JOSE,1223.0,2.0,1062.0,Active,https://www.redfin.com/CA/San-Jose/5978-Shawcroft-Dr-95123/home/1332163,MLSListings,ML81943160,N,Y,37.2386896,-121.8273767,7.0,1062.0,9185.0,65.0,Bikeable,68.0,Somewhat walkable,"Places4 groceries, 22 restaurants, 2 parksTransit27, 42, 66, 68, 72, 73, 83, BBBLS, Blue (Trsa-StJa), Blue Line, Blue Line (Bayp-Capt), Blue Line Modified, Blue Line Special, Blue-Event, Blue-South Portion, BlueS, BusBridge (7/25-8/13), BusBridge (Capt-Blos), Event Blue, Event-Blue, Express 102, Levi's - Santa Teresa, Rapid 568","Sep 27, 2023",Listed (Active)MLSListings #ML81943160,https://www.redfin.com/CA/San-Jose/5978-Shawcroft-Dr-95123/home/1332163
MLS Listing,Single Family Residential,2920 Erica Ct,Santa Clara,San Jose,CA,95121,1298000,4.0,2.0,SAN JOSE,1703.0,2.0,762.0,Active,https://www.redfin.com/CA/San-Jose/2920-Erica-Ct-95121/home/1795838,MLSListings,ML81943319,N,Y,37.3051157,-121.8240778,6.0,762.0,9178.0,53.0,Bikeable,33.0,Car-dependent,"Places6 groceries, 31 restaurants, 4 parksTransit22, 26, 31, 42, 70, 72, 73, 77","Sep 27, 2023",Listed (Active)MLSListings #ML81943319,https://www.redfin.com/CA/San-Jose/2920-Erica-Ct-95121/home/1795838
MLS Listing,Condo/Co-op,339 Tradewinds Dr,Santa Clara,San Jose,CA,95123,649999,2.0,2.0,SAN JOSE,1122.0,2.0,579.0,Active,https://www.redfin.com/CA/San-Jose/339-Tradewinds-Dr-95123/home/908783,MLSListings,ML81943301,N,Y,37.2552262,-121.8298372,5.0,579.0,5042.0,60.0,Bikeable,68.0,Somewhat walkable,"Places4 groceries, 25 restaurants, 2 parksTransit27, 42, 66, 68, 70, 72, 73, BBBLS, Blue (Trsa-StJa), Blue Line, Blue Line (Bayp-Capt), Blue Line Modified, Blue Line Special, Blue-Event, Blue-South Portion, BlueS, BusBridge (7/25-8/13), BusBridge (Capt-Blos), Event Blue, Event-Blue, Express 102, Levi's - Santa Teresa, Rapid 568","Sep 27, 2023",Listed (Active)MLSListings #ML81943301,https://www.redfin.com/CA/San-Jose/339-Tradewinds-Dr-95123/home/908783
MLS Listing,Single Family Residential,924 Ferngrove Dr,Santa Clara,Cupertino,CA,95014,2998000,5.0,3.0,CUPERTINO,2064.0,2.0,1453.0,Active,https://www.redfin.com/CA/Cupertino/924-Ferngrove-Dr-95014/home/1183839,MLSListings,ML81942779,N,Y,37.3122702,-122.0083319,9.0,1453.0,21198.0,81.0,Very bikeable,47.0,Car-dependent,"Places3 groceries, 32 restaurants, 7 parksTransit23, 25, 26, 51, 53, 55, 56, 57, Express 101, Rapid 523","Sep 27, 2023",Listed (Active)MLSListings #ML81942779,https://www.redfin.com/CA/Cupertino/924-Ferngrove-Dr-95014/home/1183839
MLS Listing,Townhouse,1902 Nevets Ln,Santa Clara,San Jose,CA,95133,1238000,3.0,3.5,SAN JOSE,1988.0,2.0,623.0,Active,https://www.redfin.com/CA/San-Jose/1902-Nevets-Ln-95133/home/167218832,MLSListings,ML81943288,N,Y,37.36776,-121.865883,6.0,623.0,9002.0,70.0,Very bikeable,44.0,Car-dependent,"Places6 groceries, 31 restaurants, 3 parksTransit22, 23, 61, 64A, 64B, 70, 77, Event Orange, Event-Orange, Green-N, Green-S, Levi's - Alum Rock, Orange Line, Orange Line Modified, Orange Line Special, Orange-East Portion, Orange-Event, Orange-N, Orange-S, OrangeE, Rapid 500, Rapid 522, School 270","Sep 27, 2023",Listed (Active)MLSListings #ML81943288,https://www.redfin.com/CA/San-Jose/1902-Nevets-Ln-95133/home/167218832
MLS Listing,Single Family Residential,1631 University Way,Santa Clara,San Jose,CA,95126,4995000,5.0,5.0,SAN JOSE,5959.0,2.0,838.0,Active,https://www.redfin.com/CA/San-Jose/1631-University-Way-95126/home/187686810,MLSListings,ML81943284,N,Y,37.3337776,-121.930556,6.0,838.0,35318.0,70.0,Very bikeable,65.0,Somewhat walkable,"Places3 groceries, 18 restaurants, 4 parksTransit21, 22, 23, 25, 59, 60, 61, 64B, L1, L3, L4, L5, L6, Rapid 522, Rapid 523, SCVMC, SCVMC Shuttle","Sep 27, 2023",Listed (Active)MLSListings #ML81943284,https://www.redfin.com/CA/San-Jose/1631-University-Way-95126/home/187686810
MLS Listing,Single Family Residential,4750 Rahway Dr,Santa Clara,San Jose,CA,95111,1098000,3.0,2.0,SAN JOSE,1512.0,2.0,726.0,Active,https://www.redfin.com/CA/San-Jose/4750-Rahway-Dr-95111/home/1409302,MLSListings,ML81943266,N,Y,37.275399,-121.8092035,3.0,726.0,7764.0,18.0,Somewhat bikeable,6.0,Car-dependent,"Places3 groceries, 19 restaurants, 14 parksTransit27, 42, 66, 68, 70, 72, 73, L1, L2, L3, L4, L5, L6, Rapid 568","Sep 27, 2023",Listed (Active)MLSListings #ML81943266,https://www.redfin.com/CA/San-Jose/4750-Rahway-Dr-95111/home/1409302
MLS Listing,Townhouse,5866 Smoky Quartz Loop,Santa Clara,San Jose,CA,95123,1149000,3.0,3.5,SAN JOSE,1712.0,2.0,671.0,Active,https://www.redfin.com/CA/San-Jose/5866-Smoky-Quartz-Loop-95123/home/95957995,MLSListings,ML81943280,N,Y,37.244648,-121.798924,5.0,671.0,8520.0,65.0,Bikeable,53.0,Somewhat walkable,"Places5 groceries, 32 restaurants, 5 parksTransit27, 42, 66, 68, Blue (Trsa-StJa), Blue Line, Blue Line (Bayp-Capt), Blue Line Modified, Blue Line Special, Blue-Event, Blue-South Portion, BlueS, Event Blue, Event-Blue, Express 102, L1, L2, L3, L4, L5, L6, Levi's - Santa Teresa, Rapid 568","Sep 27, 2023",Listed (Active)MLSListings #ML81943280,https://www.redfin.com/CA/San-Jose/5866-Smoky-Quartz-Loop-95123/home/95957995
MLS Listing,Single Family Residential,1455 Hamilton Way,Santa Clara,San Jose,CA,95125,1898000,3.0,2.0,SAN JOSE,1797.0,2.0,1056.0,Active,https://www.redfin.com/CA/San-Jose/1455-Hamilton-Way-95125/home/1664391,MLSListings,ML81943279,N,Y,37.2953176,-121.907108,6.0,1056.0,13420.0,65.0,Bikeable,21.0,Car-dependent,"Places3 groceries, 21 restaurants, 2 parksTransit25, 26, 56, 64A, 64B, Event Green, Express 103, Green (Winc-StJa), Green Line, Green Line Modified, Green Line Special, Green-South Portion, GreenS, School 256","Sep 27, 2023",Listed (Active)MLSListings #ML81943279,https://www.redfin.com/CA/San-Jose/1455-Hamilton-Way-95125/home/1664391
MLS Listing,Townhouse,1313 Auzerais Ave,Santa Clara,San Jose,CA,95126,998000,3.0,2.5,SAN JOSE,1512.0,2.0,660.0,Active,https://www.redfin.com/CA/San-Jose/1313-Auzerais-Ave-95126/home/1045776,MLSListings,ML81942362,N,Y,37.3214,-121.911907,6.0,660.0,7429.0,84.0,Very bikeable,89.0,Very walkable,"Places3 groceries, 9 restaurants, 4 parksTransit17, 22, 23, 25, 64A, 64B, 68, ACE, ACETrain, B7, CC, Event Green, Event-Green, Express 103, Green (Winc-StJa), Green Line, Green Line Modified, Green Line Special, Green-Event, Green-South Portion, GreenS, L1, L2, L3, L4, L5, L6, Levi's - Winchester, Rapid 500, Rapid 522, Rapid 523, Rapid 568, Route 6, SCVMC, SCVMC Shuttle","Sep 27, 2023",Listed (Active)MLSListings #ML81942362,https://www.redfin.com/CA/San-Jose/1313-Auzerais-Ave-95126/home/1045776
MLS Listing,Condo/Co-op,1321 Fruitdale Ave,Santa Clara,San Jose,CA,95126,924000,3.0,2.5,SAN JOSE,1291.0,2.0,716.0,Active,https://www.redfin.com/CA/San-Jose/1321-Fruitdale-Ave-95126/home/823410,MLSListings,ML81943270,N,Y,37.311386,-121.911775,6.0,716.0,6970.0,69.0,Bikeable,75.0,Very walkable,"Places3 groceries, 14 restaurants, 5 parksTransit17, 23, 25, 56, 64A, 64B, Event Green, Express 103, Green (Winc-StJa), Green Line, Green Line Modified, Green Line Special, Green-South Portion, GreenS, Rapid 523, School 256","Sep 27, 2023",Listed (Active)MLSListings #ML81943270,https://www.redfin.com/CA/San-Jose/1321-Fruitdale-Ave-95126/home/823410
