PROPERTY TYPE,CITY,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,ELEMENTARY_SCHOOL_RATING,MIDDLE_SCHOOL_RATING,HIGH_SCHOOL_RATING,PRICE_PR_SQFT,REDFIN_ESTIMATE,EST_MONTHLY_PAY,PRICE_HISTORY1_PRICE,PRICE_HISTORY2_PRICE,PRICE_HISTORY3_PRICE
Condo/Co-op,Los Angeles,90039,825000,1.0,1.5,1040.0,8.0,6.0,7.0,793.0,825528.0,6305.0,,825000.0,
Multi-Family (2-4 Unit),Los Angeles,90001,690000,5.0,3.0,1718.0,3.0,2.0,1.0,402.0,688989.0,4879.0,690000.0,,
Single Family Residential,Los Angeles,90001,659999,4.0,3.0,1376.0,6.0,2.0,1.0,480.0,665758.0,4667.0,659999.0,,
Single Family Residential,Shadow Hills,91040,1399000,2.0,1.0,1244.0,3.0,3.0,6.0,1125.0,1396225.0,9892.0,1399000.0,,
Multi-Family (2-4 Unit),Marina Del Rey,90292,2595000,7.0,5.0,3156.0,8.0,3.0,6.0,822.0,2162896.0,18348.0,2595000.0,,1950000.0
Single Family Residential,Beverly Hills,90210,2925000,2.0,2.5,1978.0,9.0,6.0,5.0,1479.0,2854819.0,20682.0,,,
Single Family Residential,Woodland Hills,91364,2150000,6.0,3.5,3803.0,7.0,7.0,,565.0,,15202.0,2150000.0,2250000.0,
Single Family Residential,West Hills,91307,1250000,3.0,3.0,1815.0,7.0,7.0,,689.0,1231062.0,9066.0,1250000.0,,
Condo/Co-op,Playa Vista,90094,1098000,2.0,2.0,1160.0,7.0,4.0,6.0,947.0,1082861.0,8611.0,1098000.0,,
Condo/Co-op,Los Angeles,90017,549500,1.0,1.5,1130.0,2.0,2.0,2.0,486.0,543920.0,4665.0,549500.0,559000.0,
Condo/Co-op,Los Angeles,90046,1249000,3.0,2.5,2140.0,7.0,4.0,5.0,584.0,1229868.0,9631.0,1249000.0,1299000.0,1349000.0
Single Family Residential,Granada Hills,91344,1620000,6.0,3.5,2600.0,6.0,8.0,5.0,623.0,1580144.0,11454.0,1620000.0,1699000.0,
Condo/Co-op,Los Feliz,90027,825000,2.0,2.0,1323.0,8.0,6.0,7.0,624.0,817376.0,6318.0,825000.0,849000.0,
Condo/Co-op,Los Angeles,90025,975000,2.0,3.0,1418.0,9.0,4.0,5.0,688.0,959729.0,7509.0,975000.0,1000000.0,
Condo/Co-op,Los Angeles,90042,599000,2.0,2.0,1023.0,6.0,,5.0,586.0,598779.0,4911.0,599000.0,,
Vacant Land,Woodland Hills,91364,2700000,,,,7.0,7.0,,,,19091.0,2700000.0,3100000.0,
Vacant Land,Los Angeles,90063,299999,,,,4.0,5.0,2.0,,285557.0,2121.0,299999.0,,
Vacant Land,Bel Air,90049,25000,,,,9.0,6.0,5.0,,23678.0,177.0,25000.0,29000.0,
Condo/Co-op,Los Angeles,90042,605000,2.0,2.0,1023.0,6.0,,5.0,591.0,604608.0,4954.0,605000.0,,
Single Family Residential,Los Angeles,90048,2395000,3.0,2.5,2629.0,7.0,6.0,4.0,911.0,2331510.0,16934.0,2395000.0,2495000.0,
Townhouse,Playa Del Rey,90293,924000,4.0,2.5,1428.0,5.0,4.0,4.0,647.0,913840.0,6923.0,924000.0,938000.0,948000.0
Single Family Residential,Venice,90291,2875000,4.0,3.5,2878.0,8.0,6.0,6.0,999.0,2759038.0,20328.0,2875000.0,2900000.0,
Condo/Co-op,San Pedro,90732,489000,1.0,1.0,864.0,7.0,9.0,5.0,566.0,483005.0,4053.0,489000.0,492000.0,
Single Family Residential,Los Angeles,90034,1949000,6.0,3.0,3040.0,5.0,6.0,5.0,641.0,1876222.0,13781.0,1949000.0,1999999.0,
Condo/Co-op,Los Angeles,90042,585000,2.0,2.0,1023.0,6.0,,5.0,572.0,578345.0,4812.0,585000.0,609000.0,579000.0
Single Family Residential,Harbor City,90710,1148000,4.0,2.5,2002.0,5.0,6.0,5.0,573.0,,8117.0,1148000.0,1149000.0,
Condo/Co-op,Los Angeles,90068,624900,2.0,2.0,1204.0,5.0,4.0,5.0,519.0,623980.0,5012.0,624900.0,635000.0,649000.0
Multi-Family (2-4 Unit),Los Angeles,90056,1799999,6.0,6.0,3966.0,,,2.0,454.0,1705636.0,12727.0,,,
Condo/Co-op,Van Nuys,91411,460000,2.0,2.0,1193.0,3.0,4.0,6.0,386.0,,3618.0,,,
Condo/Co-op,Los Angeles,90025,1299000,3.0,3.5,1990.0,6.0,4.0,5.0,653.0,1281686.0,10130.0,,,
Single Family Residential,Northridge,91325,1099900,4.0,3.0,2952.0,6.0,6.0,5.0,373.0,,7777.0,1099900.0,,
Single Family Residential,Los Angeles,90024,8995000,5.0,5.5,5474.0,9.0,6.0,5.0,1643.0,,63600.0,8995000.0,,
Single Family Residential,Leimert Park,90008,670000,3.0,1.0,1255.0,3.0,2.0,2.0,534.0,765207.0,4737.0,670000.0,,
Townhouse,Chatsworth,91311,549000,2.0,2.5,1488.0,6.0,6.0,,369.0,562617.0,4297.0,549000.0,,
Single Family Residential,Los Angeles,90068,4795000,4.0,4.5,3881.0,5.0,4.0,5.0,1236.0,4765990.0,33904.0,4795000.0,,
Condo/Co-op,Los Angeles,90038,1350000,2.0,2.0,2000.0,5.0,4.0,4.0,675.0,1343723.0,9823.0,1350000.0,,
Multi-Family (2-4 Unit),Los Angeles,90044,990000,6.0,4.0,2907.0,4.0,3.0,1.0,341.0,983460.0,7000.0,990000.0,,
Multi-Family (2-4 Unit),Los Angeles,90011,695000,6.0,2.5,1681.0,4.0,3.0,3.0,413.0,691868.0,4914.0,695000.0,,
Single Family Residential,Los Angeles,90046,2275000,3.0,3.5,2300.0,7.0,4.0,4.0,989.0,2272406.0,16086.0,2275000.0,,
Condo/Co-op,Canoga Park,91304,380000,2.0,2.0,883.0,3.0,6.0,5.0,430.0,,3219.0,380000.0,,
Single Family Residential,Woodland Hills,91364,1499000,3.0,2.0,1815.0,7.0,5.0,7.0,826.0,1492201.0,10599.0,1499000.0,,
Single Family Residential,Pacific Palisades,90272,5250000,4.0,5.0,3393.0,9.0,8.0,,1547.0,5238514.0,37138.0,5250000.0,,
Multi-Family (2-4 Unit),Los Angeles,90037,1190000,6.0,5.0,2514.0,3.0,2.0,2.0,473.0,1182860.0,8414.0,1190000.0,416000.0,
Townhouse,Winnetka,91306,545000,2.0,2.5,1423.0,5.0,3.0,3.0,383.0,551617.0,4213.0,545000.0,,199900.0
Condo/Co-op,Playa Del Rey,90293,888000,2.0,2.0,1147.0,5.0,4.0,4.0,774.0,,6749.0,,888000.0,
Vacant Land,Studio City,91604,995000,,,,9.0,6.0,7.0,,997356.0,7035.0,995000.0,,
Single Family Residential,Los Angeles,90044,600000,2.0,1.0,956.0,2.0,4.0,1.0,628.0,598234.0,4242.0,600000.0,,
Multi-Family (2-4 Unit),North Hollywood,91601,2100000,9.0,3.5,4117.0,4.0,4.0,1.0,510.0,2083380.0,14848.0,2100000.0,,
Single Family Residential,Los Angeles,90045,1595000,3.0,2.0,1456.0,4.0,4.0,4.0,1095.0,,11278.0,,,475000.0
Multi-Family (5+ Unit),El Sereno,90032,1800000,11.0,6.0,5027.0,3.0,6.0,5.0,358.0,,12727.0,1800000.0,,
Condo/Co-op,Los Angeles,90024,3999900,2.0,2.5,2929.0,9.0,6.0,5.0,1366.0,3969774.0,31762.0,3999900.0,,
Condo/Co-op,Los Angeles,90005,920000,3.0,3.0,1495.0,5.0,3.0,,615.0,911678.0,6880.0,920000.0,,
Condo/Co-op,Marina Del Rey,90292,1267000,2.0,3.0,1547.0,7.0,3.0,6.0,819.0,1266804.0,9538.0,1267000.0,,
Single Family Residential,Encino,91436,1599000,4.0,2.0,1402.0,8.0,7.0,6.0,1141.0,1599447.0,11306.0,1599000.0,,
Townhouse,Burbank,91504,699000,2.0,2.5,1302.0,2.0,,6.0,537.0,699556.0,5618.0,699000.0,,
Single Family Residential,North Hollywood,91606,997900,4.0,4.0,1114.0,5.0,4.0,7.0,896.0,989818.0,7056.0,997900.0,,
Single Family Residential,Tarzana,91356,1369000,3.0,3.0,1655.0,4.0,7.0,7.0,827.0,,9680.0,1369000.0,,
Multi-Family (2-4 Unit),Los Angeles,90037,1799990,9.0,7.5,4150.0,5.0,4.0,3.0,434.0,,12727.0,1799990.0,,
Condo/Co-op,Los Angeles,90024,875000,1.0,1.0,1253.0,9.0,6.0,5.0,698.0,,7588.0,875000.0,,
Multi-Family (5+ Unit),Los Angeles,90032,1800000,1.0,6.0,2859.0,3.0,6.0,5.0,630.0,,12727.0,1800000.0,,
Single Family Residential,Winnetka,91306,799999,3.0,2.0,1226.0,4.0,3.0,3.0,653.0,,5656.0,799999.0,,
Multi-Family (2-4 Unit),San Pedro,90731,945000,5.0,2.5,2265.0,3.0,4.0,5.0,417.0,,6682.0,,,
Condo/Co-op,Sylmar,91342,574999,4.0,3.0,2277.0,,6.0,,253.0,580073.0,4186.0,,,
Condo/Co-op,Los Angeles,90064,1065000,2.0,2.0,1413.0,9.0,4.0,5.0,754.0,,8120.0,1065000.0,,849000.0
Single Family Residential,Burbank,91505,985000,2.0,1.0,954.0,8.0,6.0,7.0,1032.0,,6965.0,985000.0,,
Single Family Residential,Los Angeles,90049,4595000,4.0,4.0,3790.0,5.0,8.0,5.0,1212.0,,32490.0,4595000.0,,
Single Family Residential,Los Angeles,90046,3650000,4.0,5.0,3800.0,7.0,4.0,4.0,961.0,,25808.0,3650000.0,,
Multi-Family (2-4 Unit),Los Angeles,90045,1400000,4.0,4.0,2764.0,4.0,4.0,4.0,507.0,1399789.0,9899.0,1400000.0,,
Single Family Residential,Los Angeles,90032,525000,2.0,1.0,560.0,6.0,6.0,5.0,938.0,541680.0,3712.0,525000.0,,
Condo/Co-op,Playa Vista,90094,1185000,2.0,2.0,1220.0,7.0,4.0,6.0,971.0,1183216.0,9269.0,1185000.0,,
Condo/Co-op,Los Angeles,90010,1450000,3.0,3.0,1700.0,7.0,4.0,,853.0,1433604.0,11435.0,1450000.0,,
Single Family Residential,Los Angeles,90002,709999,3.0,2.0,1357.0,6.0,4.0,1.0,523.0,696704.0,5020.0,709999.0,,
Condo/Co-op,Los Angeles,90064,989000,2.0,2.5,1909.0,9.0,4.0,5.0,518.0,991995.0,7693.0,989000.0,,
Single Family Residential,North Hills,91343,1095000,4.0,3.0,2516.0,5.0,7.0,5.0,435.0,1094160.0,7876.0,1095000.0,,
Single Family Residential,Los Angeles,90042,1195000,4.0,4.0,2150.0,,,,556.0,1215240.0,8449.0,1195000.0,,
Townhouse,Sylmar,91342,549995,2.0,2.0,1009.0,4.0,6.0,,545.0,553667.0,4244.0,549995.0,,
Single Family Residential,Beverly Hills,90210,12500000,6.0,9.0,9500.0,9.0,6.0,5.0,1316.0,12499896.0,88383.0,12500000.0,,
Single Family Residential,Culver City,90230,1695000,3.0,2.0,1448.0,4.0,3.0,6.0,1171.0,1697941.0,11985.0,1695000.0,,1299000.0
Single Family Residential,Chatsworth,91311,825000,3.0,2.0,1513.0,6.0,6.0,,545.0,821783.0,5833.0,825000.0,,
Single Family Residential,Los Angeles,90025,2599999,4.0,3.0,1917.0,9.0,4.0,5.0,1356.0,2589050.0,18384.0,2599999.0,,
Multi-Family (2-4 Unit),Los Angeles,90023,659000,5.0,3.0,2.0,4.0,3.0,2.0,329500.0,661452.0,4660.0,659000.0,,
Vacant Land,West Hills,91304,299000,,,,7.0,7.0,5.0,,298553.0,2114.0,299000.0,,
Single Family Residential,Tujunga,91042,1179000,3.0,4.0,1598.0,4.0,4.0,6.0,738.0,1175838.0,8336.0,1179000.0,,
Condo/Co-op,San Pedro,90732,459000,1.0,1.0,770.0,7.0,9.0,5.0,596.0,459082.0,3588.0,459000.0,,330000.0
Single Family Residential,Livermore,94551,1250000,3.0,2.0,1350.0,,,7.0,926.0,1255609.0,8838.0,1250000.0,,899000.0
Townhouse,Livermore,94551,699000,2.0,1.5,972.0,7.0,6.0,7.0,719.0,719943.0,4942.0,699000.0,,
Single Family Residential,Livermore,94551,769999,3.0,1.0,982.0,4.0,,7.0,784.0,792686.0,5444.0,769999.0,,279900.0
Single Family Residential,Livermore,94550,1095000,3.0,3.0,1933.0,8.0,7.0,7.0,566.0,1125285.0,7912.0,1095000.0,,695000.0
Single Family Residential,Livermore,94551,700000,2.0,1.0,866.0,7.0,6.0,7.0,808.0,701761.0,4987.0,700000.0,,
Single Family Residential,Livermore,94551,699000,4.0,2.0,1365.0,4.0,,7.0,512.0,720267.0,4942.0,699000.0,,
Single Family Residential,Livermore,94551,975000,3.0,2.5,1272.0,7.0,6.0,7.0,767.0,987328.0,7039.0,975000.0,,676000.0
Single Family Residential,Livermore,94550,1399000,6.0,4.0,3517.0,8.0,7.0,7.0,398.0,1428762.0,9892.0,1399000.0,,519000.0
Single Family Residential,Livermore,94551,1350000,3.0,2.0,1912.0,,5.0,7.0,706.0,1363829.0,9545.0,1350000.0,,620000.0
Single Family Residential,Livermore,94551,1249950,4.0,3.0,2393.0,7.0,,7.0,522.0,1264494.0,8838.0,1249950.0,,
Single Family Residential,Livermore,94550,1598000,3.0,2.0,2160.0,8.0,7.0,7.0,740.0,1677158.0,11299.0,1598000.0,,720000.0
Single Family Residential,Livermore,94550,1295000,3.0,2.0,1493.0,8.0,7.0,7.0,867.0,1330552.0,9156.0,1295000.0,,749888.0
Single Family Residential,Livermore,94550,1175000,3.0,3.0,1846.0,,,7.0,637.0,1192793.0,8308.0,1175000.0,,
Single Family Residential,Livermore,94551,2129950,5.0,4.0,3687.0,8.0,7.0,7.0,578.0,2213927.0,15060.0,2129950.0,,
Single Family Residential,Livermore,94550,1795000,5.0,3.0,3261.0,7.0,5.0,7.0,550.0,1934078.0,12692.0,1795000.0,,
Single Family Residential,Livermore,94550,995000,3.0,2.0,1878.0,,,7.0,530.0,1016991.0,7035.0,995000.0,,
Single Family Residential,Livermore,94550,1100000,4.0,2.5,1296.0,,5.0,7.0,849.0,1122728.0,7778.0,1100000.0,,444900.0
Single Family Residential,Livermore,94550,1398000,4.0,2.5,2040.0,,7.0,7.0,685.0,1408899.0,9885.0,1398000.0,,495000.0
Townhouse,Livermore,94550,850000,3.0,2.0,1496.0,8.0,7.0,7.0,568.0,883179.0,6010.0,850000.0,,
Condo/Co-op,Livermore,94551,1015000,3.0,3.0,2169.0,7.0,,7.0,468.0,1017758.0,7592.0,1015000.0,,
Condo/Co-op,Livermore,94550,469000,2.0,2.0,955.0,,7.0,7.0,491.0,470079.0,3856.0,469000.0,,
Single Family Residential,Livermore,94550,1095990,4.0,3.5,1830.0,7.0,5.0,7.0,599.0,1100389.0,7958.0,1095990.0,1135990.0,
Vacant Land,Livermore,94550,550000,,,506300.0,7.0,5.0,7.0,1.0,530008.0,3889.0,550000.0,,375888.0
Single Family Residential,Livermore,94551,999950,3.0,2.0,1064.0,4.0,,7.0,940.0,1014057.0,7070.0,999950.0,1038850.0,
Single Family Residential,Livermore,94550,1579900,5.0,2.5,2172.0,8.0,7.0,7.0,727.0,1613803.0,11171.0,1579900.0,1600000.0,
Single Family Residential,Livermore,94550,1175000,3.0,2.0,1484.0,,7.0,7.0,792.0,1194238.0,8308.0,1175000.0,1199000.0,
Condo/Co-op,Livermore,94551,725000,2.0,2.0,947.0,7.0,,7.0,766.0,723434.0,5461.0,725000.0,,388000.0
Townhouse,Livermore,94551,799000,2.0,2.5,1594.0,,5.0,7.0,501.0,800048.0,5865.0,799000.0,849000.0,
Single Family Residential,Livermore,94551,1275000,4.0,2.0,1561.0,7.0,7.0,7.0,817.0,1292918.0,9015.0,1275000.0,830000.0,
Single Family Residential,Livermore,94551,974990,3.0,2.0,1620.0,4.0,,7.0,602.0,1039327.0,6894.0,974990.0,,
Single Family Residential,Livermore,94550,1099000,4.0,3.0,2230.0,,7.0,7.0,493.0,1101101.0,7771.0,,,1099000.0
Single Family Residential,Livermore,94551,775000,3.0,1.0,1058.0,,,7.0,733.0,781291.0,5480.0,775000.0,620000.0,
Single Family Residential,Livermore,94551,1849000,4.0,3.0,2861.0,,5.0,7.0,646.0,1858888.0,13074.0,1849000.0,,1698000.0
Single Family Residential,Livermore,94551,1300000,3.0,2.0,1559.0,7.0,,7.0,834.0,1303517.0,9192.0,1300000.0,,1059000.0
Townhouse,Livermore,94551,950000,3.0,2.0,1305.0,7.0,6.0,7.0,728.0,969931.0,6795.0,950000.0,,
Single Family Residential,Livermore,94551,1895000,4.0,3.0,2916.0,,,7.0,650.0,1856608.0,13399.0,1895000.0,1995000.0,1895000.0
Single Family Residential,Livermore,94550,1599950,4.0,2.5,2172.0,8.0,7.0,7.0,737.0,1599526.0,11313.0,1599950.0,1699950.0,
Condo/Co-op,Livermore,94551,749000,2.0,2.0,1180.0,7.0,,7.0,635.0,747695.0,5628.0,749000.0,,584950.0
Single Family Residential,Livermore,94550,1899000,5.0,3.0,2890.0,8.0,7.0,7.0,657.0,1902029.0,13427.0,,1899000.0,
Vacant Land,Livermore,94551,2400000,,,5466780.0,7.0,6.0,7.0,,2196620.0,16969.0,2400000.0,,
Vacant Land,Livermore,94550,8400000,,,9557450.0,7.0,5.0,7.0,1.0,7592552.0,59393.0,8400000.0,,
Vacant Land,Livermore,94551,1198000,,,347609.0,7.0,6.0,7.0,3.0,1157649.0,8471.0,1198000.0,,
Single Family Residential,Livermore,94550,1299000,4.0,2.5,2102.0,7.0,5.0,7.0,618.0,1298011.0,9185.0,1299000.0,1350000.0,
Vacant Land,Livermore,94551,625000,,,463391.0,7.0,6.0,7.0,1.0,616862.0,4419.0,625000.0,,
Single Family Residential,Livermore,94550,1725000,3.0,2.5,3277.0,7.0,5.0,7.0,526.0,,12197.0,1725000.0,1850000.0,
Mobile/Manufactured Home,Livermore,94551,218888,2.0,2.0,920.0,7.0,,7.0,238.0,213574.0,1548.0,,,218888.0
Single Family Residential,Livermore,94550,2290000,3.0,2.0,2696.0,7.0,5.0,7.0,849.0,2217860.0,16192.0,2290000.0,2450000.0,
Single Family Residential,Livermore,94550,2399000,4.0,3.0,4164.0,8.0,7.0,7.0,576.0,2363280.0,16962.0,2399000.0,2599000.0,
Single Family Residential,Livermore,94550,765000,2.0,1.0,800.0,7.0,5.0,7.0,956.0,,5409.0,765000.0,389000.0,
Single Family Residential,Livermore,94551,4388000,5.0,5.5,5992.0,7.0,6.0,7.0,732.0,4320859.0,31026.0,4388000.0,,2098000.0
Vacant Land,Livermore,94550,399000,,,,,,,,,2821.0,,,
Vacant Land,Livermore,94550,399000,,,,,,,,,2821.0,,,
Vacant Land,Livermore,94550,499000,,,,,,,,,3528.0,,,
Vacant Land,Livermore,94550,499000,,,,,,,,,3528.0,,,
Condo/Co-op,Livermore,94550,439000,1.0,1.0,758.0,,7.0,7.0,579.0,436018.0,3587.0,439000.0,,
Townhouse,Livermore,94551,849000,3.0,3.5,1568.0,7.0,5.0,7.0,541.0,837971.0,6243.0,849000.0,860000.0,
Single Family Residential,Livermore,94551,2300000,3.0,1.5,1402.0,7.0,6.0,7.0,1641.0,2219013.0,16262.0,2300000.0,,
Multi-Family (2-4 Unit),Livermore,94550,1328000,4.0,2.0,1704.0,,,7.0,779.0,,9390.0,1328000.0,1350000.0,
Single Family Residential,Livermore,94551,1290000,2.0,2.0,1846.0,,,7.0,699.0,1261471.0,9121.0,1290000.0,,
Single Family Residential,Livermore,94550,948000,4.0,1.0,1500.0,4.0,4.0,4.0,632.0,960491.0,6703.0,948000.0,965000.0,1095000.0
Vacant Land,San Jose,95140,126990,,,,4.0,4.0,4.0,,121157.0,898.0,,,
Single Family Residential,Livermore,94550,999999,1.0,1.0,1092.0,4.0,4.0,4.0,916.0,,7071.0,999999.0,,
Single Family Residential,Livermore,94551,14998800,5.0,6.0,8144.0,7.0,6.0,7.0,1842.0,13805043.0,106051.0,14998800.0,,
Single Family Residential,Livermore,94551,2887000,3.0,2.0,2522.0,7.0,6.0,7.0,1145.0,2802793.0,20413.0,,,2887000.0
Single Family Residential,Livermore,94551,1799999,5.0,3.0,3584.0,7.0,6.0,7.0,502.0,1746160.0,12816.0,1799999.0,,
Vacant Land,Livermore,94551,129000,,,131115.0,,5.0,7.0,1.0,120031.0,912.0,,200000.0,250000.0
Single Family Residential,Livermore,94550,2550000,3.0,3.0,4168.0,8.0,7.0,7.0,612.0,2544364.0,18068.0,2550000.0,2650000.0,
Vacant Land,Livermore,94550,5000000,,,,,,,,,35353.0,,3950000.0,
Vacant Land,Livermore,94550,1500000,,,1399583.0,7.0,6.0,7.0,1.0,1359081.0,10606.0,1500000.0,1350000.0,
Vacant Land,Livermore,94550,129000,,,130500.0,7.0,5.0,7.0,1.0,115658.0,912.0,129000.0,,
Vacant Land,San Jose,95140,125000,,,,4.0,4.0,4.0,,112219.0,884.0,,,1395000.0
Other,Livermore,94550,879000,1.0,2.0,2190.0,4.0,4.0,4.0,401.0,,6215.0,879000.0,899000.0,
Vacant Land,Livermore,94551,4500000,,,344000000.0,7.0,6.0,7.0,,3627118.0,31818.0,4500000.0,5495000.0,6195000.0
Single Family Residential,Livermore,94550,1500000,3.0,2.0,2800.0,7.0,5.0,7.0,536.0,1481492.0,10606.0,1500000.0,,
Vacant Land,Livermore,94550,725000,,,90564.0,,7.0,7.0,8.0,670365.0,5126.0,725000.0,625000.0,
Single Family Residential,San Jose,94550,4399000,3.0,2.0,1400.0,4.0,4.0,4.0,3142.0,4122159.0,31104.0,,,
Single Family Residential,Oakland,94607,995000,4.0,3.0,1756.0,2.0,3.0,2.0,567.0,,7035.0,995000.0,,849000.0
Single Family Residential,Oakland,94619,799000,2.0,1.0,1006.0,4.0,,5.0,794.0,,5649.0,799000.0,,580000.0
Single Family Residential,Oakland,94611,1695000,4.0,3.0,3611.0,8.0,5.0,5.0,469.0,,11985.0,1695000.0,,1599000.0
Condo/Co-op,Oakland,94607,599000,2.0,2.0,979.0,,3.0,2.0,612.0,596946.0,4715.0,599000.0,,198000.0
Condo/Co-op,Oakland,94610,635000,2.0,2.0,1159.0,4.0,3.0,6.0,548.0,,5035.0,635000.0,,649000.0
Condo/Co-op,Oakland,94607,595000,2.0,2.0,909.0,,3.0,6.0,655.0,,4750.0,595000.0,,
Single Family Residential,Oakland,94605,779000,2.0,2.0,957.0,2.0,1.0,1.0,814.0,775047.0,5508.0,779000.0,779000.0,
Condo/Co-op,Oakland,94610,589000,2.0,1.0,1108.0,4.0,3.0,6.0,532.0,,4645.0,589000.0,599000.0,
Single Family Residential,Oakland,94601,799000,3.0,3.0,1056.0,1.0,1.0,1.0,757.0,,5649.0,799000.0,,
Single Family Residential,Oakland,94601,799000,3.0,2.0,1369.0,1.0,1.0,1.0,584.0,,5649.0,799000.0,849000.0,
Condo/Co-op,Oakland,94611,679000,2.0,2.0,1133.0,4.0,3.0,6.0,599.0,667993.0,5364.0,679000.0,698000.0,699000.0
Single Family Residential,Oakland,94609,699000,2.0,2.0,952.0,4.0,7.0,6.0,734.0,701829.0,4942.0,699000.0,699000.0,
Single Family Residential,Oakland,94619,1278900,3.0,2.5,2013.0,4.0,,5.0,635.0,1348230.0,9043.0,1278900.0,,279500.0
Condo/Co-op,Oakland,94605,549000,2.0,2.0,1123.0,2.0,1.0,5.0,489.0,548998.0,4541.0,549000.0,,200000.0
Single Family Residential,Oakland,94621,799000,9.0,4.0,2436.0,,,1.0,328.0,794504.0,5649.0,799000.0,799000.0,
Condo/Co-op,Oakland,94607,849000,3.0,2.5,1525.0,8.0,3.0,6.0,557.0,851537.0,6793.0,849000.0,,500000.0
Condo/Co-op,Oakland,94610,299900,1.0,1.0,629.0,4.0,3.0,6.0,477.0,300070.0,2622.0,299900.0,,359900.0
Single Family Residential,Oakland,94619,1095000,5.0,3.0,2206.0,4.0,1.0,1.0,496.0,1094133.0,7742.0,1095000.0,1095000.0,
Single Family Residential,Berkeley,94705,1695000,4.0,3.0,3593.0,8.0,7.0,6.0,472.0,1766440.0,11985.0,1695000.0,,1195000.0
Condo/Co-op,Oakland,94607,699000,2.0,2.5,1214.0,,3.0,2.0,576.0,698292.0,5125.0,699000.0,,
Single Family Residential,Oakland,94601,599000,4.0,2.0,1254.0,3.0,3.0,1.0,478.0,601285.0,4235.0,599000.0,,
Single Family Residential,Oakland,94603,499888,1.0,1.0,626.0,2.0,2.0,1.0,799.0,493935.0,3535.0,499888.0,,
Multi-Family (2-4 Unit),Oakland,94606,2000000,,,4129.0,6.0,4.0,4.0,484.0,1917798.0,14141.0,2000000.0,,
Single Family Residential,Oakland,94610,895000,3.0,2.0,1524.0,4.0,3.0,6.0,587.0,897441.0,6328.0,895000.0,,
Multi-Family (5+ Unit),Oakland,94609,995000,,,3624.0,7.0,7.0,6.0,275.0,,7035.0,,,
Condo/Co-op,Oakland,94607,724800,2.0,2.0,1156.0,8.0,3.0,6.0,627.0,724511.0,6024.0,724800.0,,
Condo/Co-op,Oakland,94607,675000,1.0,1.0,766.0,8.0,3.0,6.0,881.0,675227.0,5749.0,675000.0,,698000.0
Multi-Family (2-4 Unit),Oakland,94608,799900,5.0,2.0,,4.0,3.0,2.0,,795291.0,5656.0,,,
Single Family Residential,Oakland,94605,929000,4.0,2.0,1454.0,2.0,1.0,1.0,639.0,927925.0,6569.0,929000.0,,699000.0
Single Family Residential,Oakland,94605,789000,3.0,2.0,1160.0,2.0,1.0,1.0,680.0,788807.0,5579.0,789000.0,,
Multi-Family (2-4 Unit),Oakland,94605,549888,3.0,,1415.0,2.0,1.0,1.0,389.0,549653.0,3888.0,549888.0,,165000.0
Condo/Co-op,Oakland,94610,525000,1.0,1.0,934.0,7.0,3.0,6.0,562.0,522670.0,3712.0,525000.0,,
Single Family Residential,Oakland,94611,2995000,4.0,4.5,5169.0,8.0,5.0,5.0,579.0,3034010.0,21177.0,2995000.0,,
Single Family Residential,Oakland,94610,1950000,4.0,3.0,2450.0,8.0,7.0,4.0,796.0,1944130.0,13807.0,1950000.0,,675000.0
Single Family Residential,Oakland,94609,1098000,6.0,3.0,2796.0,4.0,7.0,6.0,393.0,1103162.0,7764.0,1098000.0,1098000.0,
Single Family Residential,Oakland,94609,1699000,8.0,4.0,3093.0,2.0,3.0,6.0,549.0,1662015.0,12013.0,1699000.0,1699000.0,
Multi-Family (2-4 Unit),Oakland,94606,1150000,6.0,,3126.0,7.0,7.0,4.0,368.0,1151234.0,8131.0,1150000.0,,
Single Family Residential,Oakland,94619,1100000,4.0,3.5,1925.0,4.0,,5.0,571.0,1137516.0,7778.0,1100000.0,,
Multi-Family (2-4 Unit),Oakland,94603,499000,2.0,,1294.0,2.0,2.0,1.0,386.0,496930.0,3528.0,499000.0,,
Single Family Residential,Oakland,94602,849000,2.0,2.0,1157.0,7.0,7.0,4.0,734.0,901413.0,6003.0,849000.0,,749000.0
Single Family Residential,Oakland,94601,765000,2.0,1.0,1175.0,3.0,3.0,1.0,651.0,760157.0,5409.0,765000.0,,
Condo/Co-op,Oakland,94605,580000,2.0,2.0,1123.0,2.0,1.0,5.0,516.0,579450.0,4760.0,580000.0,,
Single Family Residential,Oakland,94603,475000,3.0,1.0,947.0,2.0,,1.0,502.0,476672.0,3359.0,475000.0,,
Single Family Residential,Oakland,94611,1295000,4.0,3.0,2092.0,7.0,5.0,5.0,619.0,,9156.0,1295000.0,,
Single Family Residential,Oakland,94621,549950,2.0,1.0,1589.0,2.0,,1.0,346.0,551747.0,3888.0,549950.0,,
Single Family Residential,Oakland,94602,1095000,3.0,2.0,1370.0,7.0,,5.0,799.0,1237196.0,7742.0,1095000.0,,769000.0
Single Family Residential,Oakland,94608,1399000,5.0,3.5,2156.0,2.0,3.0,2.0,649.0,1374664.0,9892.0,1399000.0,,
Condo/Co-op,Oakland,94607,499900,1.0,1.5,973.0,2.0,3.0,2.0,514.0,499520.0,3938.0,499900.0,,540000.0
