PROPERTY TYPE,CITY,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,ELEMENTARY_SCHOOL_RATING,MIDDLE_SCHOOL_RATING,HIGH_SCHOOL_RATING,PRICE_PR_SQFT,REDFIN_ESTIMATE,EST_MONTHLY_PAY,PRICE_HISTORY1_PRICE,PRICE_HISTORY2_PRICE,PRICE_HISTORY3_PRICE
Single Family Residential,Redwood City,94061,1895000,5.0,3.0,2554.0,,,6.0,742.0,1847312.0,13399.0,1895000.0,,
Single Family Residential,Redwood City,94061,1995000,5.0,3.0,4377.0,3.0,,6.0,456.0,1951888.0,14106.0,1995000.0,,1649000.0
Multi-Family (2-4 Unit),Redwood City,94063,1499000,6.0,4.0,3866.0,,,6.0,388.0,1463287.0,10599.0,,,1499000.0
Single Family Residential,Woodside,94062,3500000,3.0,4.0,4671.0,,,,749.0,3386741.0,24747.0,3500000.0,,699000.0
Single Family Residential,Redwood City,94063,1699000,3.0,2.0,1140.0,,3.0,6.0,1490.0,1663716.0,12013.0,1699000.0,,
Condo/Co-op,Redwood City,94061,900000,3.0,2.0,1555.0,3.0,,6.0,579.0,889979.0,7039.0,900000.0,,
Condo/Co-op,Redwood City,94061,699000,2.0,1.0,916.0,,,6.0,763.0,689306.0,5588.0,699000.0,748000.0,798000.0
Condo/Co-op,Redwood City,94061,598000,2.0,1.0,850.0,3.0,,6.0,704.0,593025.0,4877.0,598000.0,,359000.0
Multi-Family (5+ Unit),Redwood City,94062,5000000,12.0,21.0,17113.0,,3.0,6.0,292.0,,35353.0,5000000.0,,
Vacant Land,Redwood City,94062,895000,,,,,,6.0,,,6328.0,895000.0,,
Townhouse,Redwood Shores,94065,1898000,3.0,2.5,1740.0,7.0,9.0,9.0,1091.0,1845511.0,13800.0,1898000.0,1950000.0,
Single Family Residential,Redwood City,94061,2795000,5.0,3.5,3300.0,3.0,,6.0,847.0,2791429.0,19762.0,2795000.0,2995000.0,3200000.0
Multi-Family (2-4 Unit),Redwood City,94063,928000,2.0,2.0,1140.0,,,6.0,814.0,,6562.0,928000.0,998000.0,
Multi-Family (2-4 Unit),Redwood City,94063,1618000,4.0,4.0,2080.0,,,6.0,778.0,1581296.0,11440.0,1618000.0,1375000.0,
Condo/Co-op,Redwood City,94062,1280000,2.0,2.5,1490.0,,3.0,6.0,859.0,1240174.0,9350.0,1280000.0,,334900.0
Vacant Land,Woodside,94062,699000,,,,,,,,,4942.0,699000.0,749000.0,
Single Family Residential,Woodside,94062,4890000,5.0,4.5,8150.0,,,,600.0,4684239.0,34575.0,4890000.0,,2295000.0
Vacant Land,Woodside,94062,225000,,,,,,,,,1591.0,,,250000.0
Single Family Residential,San Carlos,94070,3995000,5.0,4.0,3246.0,,9.0,6.0,1231.0,3897294.0,28247.0,3995000.0,4299000.0,4495000.0
Single Family Residential,Woodside,94062,2240000,5.0,3.5,3180.0,,,,704.0,2316910.0,15838.0,2240000.0,2450000.0,2550000.0
Single Family Residential,Redwood City,94063,1150000,2.0,1.0,740.0,3.0,,6.0,1554.0,,8131.0,1150000.0,,795000.0
Single Family Residential,Redwood City,94062,3888883,4.0,3.5,3830.0,,,6.0,1015.0,3740629.0,27497.0,3888883.0,,1895000.0
Vacant Land,Redwood City,94062,349000,,,,,,6.0,,321574.0,2468.0,,,349000.0
Single Family Residential,Woodside,94062,3488888,5.0,4.0,4760.0,,,6.0,733.0,3408096.0,24669.0,,,3488888.0
Single Family Residential,Redwood City,94063,1825000,4.0,3.0,1830.0,3.0,,6.0,997.0,1787986.0,12904.0,1825000.0,1867000.0,1877000.0
Condo/Co-op,Mountain View,94040,798000,2.0,2.0,1206.0,3.0,7.0,9.0,662.0,797201.0,6299.0,798000.0,,765000.0
Single Family Residential,Los Altos,94024,3298000,3.0,2.0,1681.0,9.0,8.0,8.0,1962.0,3326754.0,23319.0,3298000.0,,735000.0
Single Family Residential,Los Altos,94022,3998000,5.0,3.0,2374.0,8.0,8.0,9.0,1684.0,4011512.0,28268.0,3998000.0,,
Single Family Residential,Los Altos,94024,2998000,2.0,3.0,2297.0,9.0,10.0,8.0,1305.0,3022155.0,21198.0,2998000.0,,985000.0
Single Family Residential,Mountain View,94040,2988000,3.0,2.5,1775.0,9.0,10.0,8.0,1683.0,3000851.0,21127.0,2988000.0,,
Single Family Residential,Los Altos,94022,4795000,4.0,2.5,3393.0,8.0,8.0,9.0,1413.0,4822050.0,33904.0,4795000.0,,
Condo/Co-op,Los Altos,94022,1499000,2.0,2.0,1349.0,9.0,8.0,9.0,1111.0,1497644.0,11329.0,1499000.0,,1498000.0
Condo/Co-op,Mountain View,94040,864400,2.0,1.0,960.0,8.0,8.0,9.0,900.0,864590.0,6708.0,864400.0,,
Single Family Residential,Los Altos,94024,5950000,4.0,4.5,3411.0,9.0,10.0,8.0,1744.0,5936858.0,42070.0,5950000.0,,2998000.0
Condo/Co-op,Los Altos,94022,1398000,2.0,2.0,1598.0,9.0,8.0,9.0,875.0,1428772.0,10742.0,1398000.0,,
Condo/Co-op,Cupertino,95014,1199000,2.0,2.0,1249.0,9.0,8.0,8.0,960.0,1196903.0,9118.0,1199000.0,,
Single Family Residential,Palo Alto,94306,10875000,6.0,5.5,7030.0,8.0,8.0,9.0,1547.0,10504926.0,76893.0,10875000.0,,
Single Family Residential,Mountain View,94040,4698000,5.0,4.0,3923.0,9.0,10.0,8.0,1198.0,4834137.0,33218.0,4698000.0,4800000.0,
